Relationship,N,Lin_dist_mean,Lin_dist_median,LCP_dist_mean,LCP_dist_median
Siblings,59,4.1921831402323075,2.35976932206205,12.138961456650051,2.8859500743676993
Parent-offspring,157,4.047519316564859,1.7820871673480143,8.893005422218957,2.726712519873431
